0,True,51.161.72,32
1,True,54.39.119,12
2,True,95.216.48,32
3,True,45.143.155,256
4,True,185.232.18,256
5,True,144.217.236,64
6,True,193.176.158,256
7,True,66.70.144,4
8,True,45.134.159,256
9,True,185.66.89,256
10,True,51.89.87,191
11,True,193.176.153,256
12,True,54.187.221,1
13,True,45.134.156,256
14,True,3.23.65,1
15,True,51.83.202,250
16,True,35.182.134,1
17,True,45.155.165,256
18,True,145.239.106,32
19,True,194.120.116,256
20,True,142.44.221,127
21,True,51.161.48,191
22,True,198.199.69,2
23,True,51.195.23,256
24,True,159.69.151,3
25,True,51.89.49,128
26,True,34.247.193,1
27,True,18.190.134,1
28,True,51.210.89,256
29,True,185.66.89,256
30,True,193.176.153,256
31,True,44.227.68,1
32,True,78.47.70,1
33,True,193.176.190,256
34,True,137.74.44,1
35,True,51.89.88,128
36,True,185.66.89,256
37,True,51.83.160,250
38,True,45.155.164,256
39,True,45.155.167,256
40,True,34.82.213,1
41,True,46.161.12,168
42,True,45.155.166,256
43,True,45.134.158,256
44,True,52.26.142,1
45,True,51.83.210,128
46,True,45.155.167,256
47,True,54.214.188,1
48,True,51.83.181,231
49,True,51.75.81,128
50,True,51.161.6,64
51,True,54.203.150,1
52,True,142.44.231,64
53,True,51.161.58,247
54,True,135.181.13,8
55,True,78.47.82,1
56,True,67.205.158,1
57,True,185.232.17,256
58,False,51.210.89,256
59,True,51.195.71,256
60,True,54.229.93,1
61,True,185.232.18,256
62,True,51.83.211,249
63,True,51.89.88,128
64,True,45.155.164,256
65,True,45.134.156,256
66,True,51.83.202,250
67,True,3.248.101,1
68,True,52.60.71,3
69,False,185.66.88,256
70,True,185.66.89,256
71,True,45.143.155,256
72,True,52.208.133,1
73,True,51.75.249,5
74,True,205.185.116,2
75,True,51.83.160,250
76,True,51.83.246,255
77,True,45.143.154,256
78,True,45.134.158,256
79,True,194.120.116,256
80,True,47.56.164,1
81,True,51.89.125,64
82,True,194.120.24,256
83,True,45.143.155,256
84,True,3.96.70,1
85,True,147.135.152,32
86,True,106.12.108,1
87,True,142.44.145,63
88,True,54.39.199,64
89,True,46.161.13,189
90,True,194.120.24,256
91,True,51.83.30,64
92,True,66.70.231,32
93,True,51.161.65,191
94,True,51.89.47,126
95,True,51.83.181,231
96,True,46.161.13,189
97,True,185.189.68,11
98,True,185.66.88,256
99,True,194.120.24,256
100,True,51.161.40,96
101,True,147.135.43,62
102,True,106.13.220,3
103,True,185.232.19,256
104,True,51.161.65,191
105,True,116.203.77,1
106,True,51.210.89,256
107,True,51.89.88,128
108,True,185.66.89,256
109,True,45.143.152,256
110,True,51.161.58,247
111,True,95.217.49,32
112,True,149.248.16,3
113,True,147.135.43,62
114,True,185.232.17,256
115,True,51.161.72,32
116,True,206.189.239,2
117,True,193.176.153,256
118,True,51.75.81,128
119,True,51.161.60,224
120,True,142.44.252,32
121,True,45.143.153,256
122,True,185.66.89,256
123,True,13.58.56,1
124,True,158.69.33,128
125,True,51.79.122,125
126,True,44.226.233,1
127,True,44.225.51,1
128,True,52.60.126,3
129,True,95.217.93,64
130,True,185.232.19,256
131,True,45.143.153,256
132,True,51.195.23,256
133,True,116.203.183,8
134,True,46.161.13,189
135,True,51.161.65,191
136,True,51.79.8,16
137,True,51.161.60,224
138,True,51.161.29,63
139,True,51.161.40,96
140,True,51.83.181,231
141,True,51.161.48,191
142,True,182.61.28,2
143,True,51.210.89,256
144,True,44.227.73,2
145,True,63.34.180,1
146,True,51.161.48,191
147,True,51.89.61,32
148,True,34.251.167,1
149,True,118.24.245,1
150,True,51.77.23,128
151,True,185.232.17,256
152,True,185.66.89,256
153,True,193.176.158,256
154,True,46.161.13,189
155,True,51.83.246,255
156,True,45.143.155,256
157,True,51.77.95,127
158,True,45.155.166,256
159,True,51.161.58,247
160,True,51.89.125,64
161,True,51.79.122,125
162,True,142.44.224,32
163,True,3.232.45,1
164,True,51.75.81,128
165,True,54.39.199,64
166,True,51.161.72,32
167,True,193.176.158,256
168,True,46.161.12,168
169,True,185.232.19,256
170,True,34.248.152,1
171,True,51.83.160,250
172,True,45.142.183,58
173,True,51.89.49,128
174,True,51.161.40,96
175,True,51.89.89,64
176,True,46.105.62,1
177,True,51.161.100,128
178,True,51.161.58,247
179,True,45.143.153,256
180,True,51.83.30,64
181,True,95.216.85,32
182,True,193.176.153,256
183,True,45.143.152,256
184,True,51.83.181,231
185,True,45.143.155,256
186,True,51.77.23,128
187,True,193.176.153,256
188,True,194.120.24,256
189,True,193.176.153,256
190,True,144.76.241,32
191,True,144.217.137,64
192,True,51.161.121,192
193,True,108.61.217,1
194,True,193.160.96,65
195,True,45.134.157,256
196,True,47.57.80,3
197,True,185.232.17,256
198,True,44.224.166,1
199,True,51.89.89,64
200,True,51.77.23,128
201,True,145.239.106,32
202,True,51.83.246,255
203,True,51.89.28,128
204,True,45.134.156,256
205,True,159.69.202,7
206,True,54.39.113,128
207,True,18.223.135,1
208,True,185.66.89,256
209,True,45.134.157,256
210,False,18.200.104,1
211,True,51.89.87,191
212,True,54.39.204,64
213,False,34.206.72,1
214,True,144.217.235,16
215,True,45.143.155,256
216,True,155.138.204,2
217,True,144.217.196,64
218,True,193.176.158,256
219,True,45.134.159,256
220,True,195.201.25,1
221,True,45.143.154,256
222,True,95.216.57,32
223,True,3.132.170,3
224,True,51.77.95,127
225,True,51.81.237,125
226,True,51.89.48,127
227,True,45.155.166,256
228,True,45.143.153,256
229,True,159.69.249,2
230,True,52.60.222,3
231,True,185.66.89,256
232,True,51.79.122,125
233,True,45.143.155,256
234,True,51.83.202,250
235,True,18.190.131,1
236,True,3.132.114,1
237,True,68.183.220,1
238,True,217.160.66,7
239,True,54.229.150,1
240,True,193.176.158,256
241,True,100.21.156,1
242,True,45.134.157,256
243,True,44.226.195,1
244,True,167.71.165,1
245,True,51.161.58,247
246,True,185.232.16,256
247,True,144.217.58,32
248,True,51.161.58,247
249,True,34.75.46,1
250,True,54.39.37,16
251,True,108.61.195,1
252,True,147.135.43,62
253,True,51.83.160,250
254,True,45.155.165,256
255,True,45.155.166,256
256,True,51.89.207,144
257,True,46.161.13,189
258,True,51.79.4,32
259,True,192.99.87,16
260,True,51.195.71,256
261,True,159.203.44,1
262,True,193.176.179,256
263,True,51.75.100,33
264,True,3.132.57,1
265,True,182.61.49,2
266,True,51.195.23,256
267,True,35.183.230,2
268,True,51.75.81,128
269,True,66.70.236,64
270,True,95.179.130,2
271,True,51.161.40,96
272,True,51.195.23,256
273,True,3.132.170,3
274,True,45.134.159,256
275,True,68.183.200,2
276,True,51.89.127,64
277,True,193.176.158,256
278,True,34.82.246,1
279,True,51.161.60,224
280,True,51.83.160,250
281,True,35.183.233,2
282,True,51.81.237,125
283,True,185.66.88,256
284,True,185.187.154,32
285,True,34.255.98,1
286,True,50.116.12,1
287,True,164.132.112,32
288,True,185.66.89,256
289,True,52.60.210,2
290,True,51.89.88,128
291,True,3.137.19,2
292,True,44.228.96,3
293,True,192.99.228,32
294,True,142.44.221,127
295,True,45.143.154,256
296,True,51.83.246,255
297,True,194.120.116,256
298,True,45.134.157,256
299,True,51.210.89,256
300,True,159.69.210,2
301,True,194.120.116,256
302,True,3.233.196,1
303,True,51.178.12,61
304,True,51.161.48,191
305,True,51.89.87,191
306,True,99.80.81,1
307,True,99.79.186,6
308,True,51.161.58,247
309,True,209.141.37,3
310,True,45.63.9,1
311,True,194.120.24,256
312,True,192.99.230,32
313,True,159.203.2,1
314,True,142.93.118,1
315,True,185.66.89,256
316,True,46.161.13,189
317,True,44.231.241,1
318,True,193.176.179,256
319,True,136.244.111,1
320,True,149.56.6,4
321,True,51.89.222,53
322,True,54.39.155,64
323,True,45.143.152,256
324,True,159.69.122,3
325,True,193.176.158,256
326,False,185.66.89,256
327,True,51.210.89,256
328,True,52.60.167,1
329,True,47.57.103,2
330,True,45.32.86,1
331,True,157.245.116,1
332,True,54.39.211,64
333,True,51.161.29,63
334,True,66.70.236,64
335,True,45.77.7,1
336,True,51.161.50,160
337,True,51.77.75,128
338,True,144.217.236,64
339,True,51.83.211,249
340,True,45.134.156,256
341,True,45.143.155,256
342,True,193.176.158,256
343,True,51.89.207,144
344,True,45.143.152,256
345,True,142.44.224,32
346,True,99.79.118,2
347,True,51.75.81,128
348,True,66.70.236,64
349,True,51.77.75,128
350,True,144.217.196,64
351,True,45.155.165,256
352,True,52.184.194,1
353,True,47.57.108,1
354,False,45.155.165,256
355,True,54.197.210,1
356,True,45.134.157,256
357,True,198.50.165,128
358,True,185.66.88,256
359,True,149.28.114,2
360,True,144.217.235,16
361,True,116.202.29,2
362,True,193.176.190,256
363,True,91.121.217,3
364,True,51.161.65,191
365,True,51.195.23,256
366,True,142.44.145,63
367,True,95.217.101,127
368,True,45.134.158,256
369,True,135.181.12,80
370,True,44.228.201,1
371,True,45.143.154,256
372,True,51.195.71,256
373,True,51.161.100,128
374,True,3.229.252,1
375,True,198.50.165,128
376,True,51.161.60,224
377,True,99.79.158,3
378,True,99.79.99,2
379,True,116.203.216,4
380,True,51.89.125,64
381,True,193.176.179,256
382,True,185.52.0,5
383,True,193.176.179,256
384,True,51.89.28,128
385,True,52.203.151,1
386,True,142.44.145,63
387,True,51.210.89,256
388,True,147.135.152,32
389,True,45.143.153,256
390,True,51.79.122,125
391,True,51.83.246,255
392,True,144.202.77,1
393,True,45.143.154,256
394,True,45.155.165,256
395,True,51.79.8,16
396,True,45.155.165,256
397,True,144.217.196,64
398,True,99.81.121,1
399,True,185.66.89,256
400,True,198.71.63,3
401,True,185.187.154,32
402,True,54.39.113,128
403,True,45.155.166,256
404,True,185.66.89,256
405,True,51.161.51,64
406,True,68.183.106,1
407,True,44.226.62,2
408,True,15.222.209,1
409,True,142.44.221,127
410,True,157.245.82,1
411,True,142.44.221,127
412,True,46.161.12,168
413,True,51.161.29,63
414,True,147.135.43,62
415,True,51.83.211,249
416,True,45.143.155,256
417,True,51.89.207,144
418,True,3.132.128,1
419,True,47.241.58,2
420,True,18.223.0,1
421,True,46.161.13,189
422,True,52.209.168,1
423,True,193.176.158,256
424,True,45.134.158,256
425,True,51.161.6,64
426,True,144.217.119,64
427,True,51.89.28,128
428,True,193.176.158,256
429,True,185.232.19,256
430,True,158.69.33,128
431,True,167.114.62,31
432,True,51.89.49,128
433,True,54.145.203,1
434,True,45.155.166,256
435,True,54.39.113,128
436,True,185.232.16,256
437,True,99.79.157,4
438,True,51.89.222,53
439,True,185.66.89,256
440,True,144.202.12,1
441,True,51.161.41,32
442,True,149.56.39,8
443,True,185.232.17,256
444,True,45.155.164,256
445,True,51.83.181,231
446,True,52.23.5,1
447,True,44.232.83,1
448,True,46.161.12,168
449,True,51.161.48,191
450,True,154.81.2,6
451,True,3.248.75,1
