0,True,167.114.88,8
1,True,51.75.78,5
2,True,46.161.12,168
3,True,51.161.44,32
4,True,50.21.190,1
5,True,51.83.246,255
6,True,82.165.251,3
7,True,52.14.123,1
8,True,3.96.72,1
9,True,193.176.179,256
10,True,15.222.78,15
11,True,54.39.204,64
6f938e6bc1b1087bcdd3af7fa7e91f534505278cc24d5c344d91d7158df22381 DIVERGE
12,False,52.33.67,2
13,True,34.248.152,1
14,True,44.230.42,1
15,True,159.69.122,3
16,True,99.79.164,2
17,True,46.161.12,168
18,True,35.182.24,1
19,True,193.160.96,65
20,True,18.200.72,1
21,True,147.135.173,32
42e752414007044c8618ae1f0e8dae3db58dea310ba78fd2f0f3dd8f664aec79 DIVERGE
22,False,82.165.162,1
23,True,34.193.223,1
24,True,159.89.50,1
25,True,44.226.170,1
26,True,164.132.135,1
27,True,142.4.192,4
28,True,51.79.60,15
29,True,3.233.64,1
30,True,15.222.69,8
31,True,99.81.208,1
32,True,44.225.242,2
33,True,52.229.21,1
34,True,194.124.32,1
35,True,52.13.33,1
36,True,116.203.29,3
37,True,51.89.222,53
38,True,35.182.144,1
39,True,104.161.79,28
40,True,45.143.153,256
41,True,188.40.183,16
42,True,95.216.220,4
43,True,51.79.4,32
44,True,52.17.192,1
45,True,54.39.113,128
46,True,104.248.76,2
47,True,52.211.89,1
48,True,188.165.200,1
49,True,51.77.23,128
50,True,116.203.28,2
51,True,193.70.86,2
52,True,195.201.43,5
53,True,51.89.28,128
54,True,51.77.23,128
55,True,95.216.54,32
56,True,52.60.202,2
57,True,116.202.8,3
58,True,167.71.136,1
59,True,51.89.210,128
60,True,74.208.157,3
61,True,99.79.100,3
62,True,95.217.93,64
63,True,51.161.60,224
64,True,52.14.208,1
65,True,193.176.153,256
66,True,15.222.54,9
67,True,18.191.175,1
68,True,54.188.80,1
69,True,52.212.47,1
70,True,44.227.102,1
71,True,63.35.160,1
72,True,216.250.119,3
73,True,8.209.93,1
74,True,35.183.22,1
75,True,159.69.248,8
76,True,51.178.86,5
77,True,51.161.100,128
78,True,52.43.26,1
79,True,52.19.8,1
80,True,99.80.76,1
81,True,67.207.84,1
82,True,35.182.75,1
83,True,52.209.162,1
84,True,95.216.169,2
85,True,52.26.105,1
86,True,34.193.123,1
87,True,167.99.184,1
88,True,157.245.215,1
89,True,35.182.28,1
90,True,47.75.37,1
91,True,144.217.209,16
92,True,18.190.145,1
93,True,51.79.122,125
94,True,52.60.132,3
95,True,106.12.107,2
96,True,52.14.226,1
97,True,54.39.119,12
98,True,3.89.79,2
99,True,104.248.14,1
100,True,207.180.235,2
101,True,51.83.246,255
102,True,206.81.6,8
103,True,217.160.43,4
104,True,34.250.219,1
105,True,51.195.71,256
106,True,47.74.89,1
107,True,35.183.59,2
108,True,185.187.154,32
109,True,3.14.190,1
110,True,35.182.191,2
111,True,51.83.181,231
112,True,108.128.35,1
113,True,144.217.204,32
114,True,34.246.60,1
115,True,185.189.68,11
116,True,44.227.234,1
117,True,54.72.234,2
118,True,13.52.210,1
b3fa41955da9a8f3dd5d531fcf1b01134e21cb939ea01e4139d9458299140714 DIVERGE
119,False,34.251.247,1
120,True,51.89.123,192
121,True,15.222.49,8
122,True,88.198.197,1
123,True,15.223.141,1
124,True,192.99.230,32
125,True,62.151.181,3
126,True,135.181.13,8
127,True,3.23.19,1
128,True,95.179.137,2
129,True,144.217.58,32
ed89cbbdb7adcb2647560853ef4c61e01ba57384a6f53b3b9e1cd81345432c0c DIVERGE
130,False,54.229.60,1
131,True,44.224.238,1
132,True,178.33.57,1
133,True,3.234.113,1
134,True,64.227.97,2
135,True,15.222.66,5
136,True,18.217.60,1
137,True,51.75.212,64
138,True,49.12.111,5
139,True,3.16.234,1
140,True,99.80.76,1
141,True,87.98.229,1
142,True,106.13.221,11
143,True,199.247.14,2
144,True,144.217.46,32
145,True,135.181.10,16
146,True,3.215.109,1
147,True,51.161.40,96
148,True,134.209.174,1
149,True,66.70.130,64
150,True,144.217.196,64
151,True,167.71.10,1
152,True,54.82.233,1
153,True,158.69.10,64
154,True,44.225.31,1
155,True,45.32.64,1
156,True,116.203.45,3
157,True,52.207.167,1
158,True,74.208.160,2
159,True,91.121.87,1
160,True,64.227.103,2
161,True,66.70.144,4
162,True,217.182.6,1
163,True,116.202.25,2
164,True,35.182.221,1
165,True,217.160.57,2
166,True,54.38.31,7
167,True,82.165.253,1
168,True,44.232.119,1
169,True,3.13.158,2
170,True,51.161.121,192
171,True,45.155.166,256
