    318 100.20.106.115,100.20.106,1
    347 100.20.114.4,100.20.114,1
    298 100.20.137.33,100.20.137,1
    265 100.20.150.84,100.20.150,1
    285 100.20.16.146,100.20.16,1
    314 100.20.178.53,100.20.178,1
    297 100.20.19.110,100.20.19,1
    290 100.20.20.134,100.20.20,2
    317 100.20.20.14,100.20.20,2
    275 100.20.250.144,100.20.250,1
    297 100.20.255.190,100.20.255,1
    296 100.20.31.242,100.20.31,1
    303 100.20.97.45,100.20.97,1
    309 100.20.99.39,100.20.99,1
    313 100.21.108.206,100.21.108,1
    319 100.21.111.164,100.21.111,1
    323 100.21.114.38,100.21.114,1
    309 100.21.115.24,100.21.115,1
    308 100.21.12.112,100.21.12,1
    275 100.21.123.254,100.21.123,1
    305 100.21.13.200,100.21.13,1
    275 100.21.137.137,100.21.137,1
    311 100.21.150.88,100.21.150,1
    313 100.21.151.192,100.21.151,1
    280 100.21.154.195,100.21.154,1
    308 100.21.156.14,100.21.156,1
    320 100.21.165.109,100.21.165,1
    321 100.21.180.17,100.21.180,1
    288 100.21.192.215,100.21.192,1
    317 100.21.196.12,100.21.196,2
    284 100.21.196.34,100.21.196,2
    299 100.21.197.80,100.21.197,1
    287 100.21.214.126,100.21.214,1
    317 100.21.221.105,100.21.221,1
    281 100.21.234.177,100.21.234,1
    294 100.21.235.228,100.21.235,1
    312 100.21.237.110,100.21.237,1
    327 100.21.241.20,100.21.241,1
    319 100.21.252.230,100.21.252,1
    283 100.21.255.121,100.21.255,1
    306 100.21.64.202,100.21.64,1
    295 100.21.8.112,100.21.8,1
    331 100.21.89.53,100.21.89,1
    306 100.21.90.39,100.21.90,1
    296 100.21.98.212,100.21.98,1
    316 100.22.2.255,100.22.2,1
    309 100.22.6.76,100.22.6,1
    303 100.22.9.228,100.22.9,2
    297 100.22.9.242,100.22.9,2
    336 100.24.106.120,100.24.106,1
    284 100.24.11.111,100.24.11,1
    323 100.24.116.81,100.24.116,1
    293 100.24.120.147,100.24.120,2
    311 100.24.120.177,100.24.120,2
    318 100.24.124.81,100.24.124,1
    302 100.24.125.212,100.24.125,1
    307 100.24.129.41,100.24.129,1
    308 100.24.51.187,100.24.51,1
    317 100.24.98.136,100.24.98,1
    306 100.25.64.34,100.25.64,1
    289 100.25.66.134,100.25.66,1
    309 100.26.116.216,100.26.116,1
    288 100.27.17.189,100.27.17,1
    322 100.27.34.191,100.27.34,1
    324 100.27.40.215,100.27.40,1
    349 101.200.74.0,101.200.74,1
    309 103.127.246.11,103.127.246,1
    314 103.219.22.17,103.219.22,1
    302 103.29.69.166,103.29.69,1
    329 103.40.27.46,103.40.27,1
    331 103.43.75.243,103.43.75,1
    327 104.1.241.44,104.1.241,1
    319 104.156.230.126,104.156.230,1
    317 104.156.255.216,104.156.255,1
    282 104.161.79.172,104.161.79,28
    296 104.161.79.173,104.161.79,28
    320 104.161.79.180,104.161.79,28
