   5148 51.89.47,128
   5148 45.142.183,58
   5107 51.77.95,127
   5089 51.89.28,128
   5085 95.216.124,32
   5085 147.135.43,62
   5079 95.217.101,127
   5074 185.232.19,256
   5070 147.135.152,32
   5070 145.239.106,32
   5069 51.161.41,32
   5066 51.161.100,128
   5063 45.143.153,256
   5059 51.75.100,33
   5048 51.161.65,192
   5046 45.155.166,256
   5039 51.75.81,128
   5033 194.120.116,256
   5032 45.143.155,256
   5028 51.83.181,234
   5025 95.216.121,32
   5024 144.217.58,32
   5019 51.83.160,250
   5015 95.217.49,32
   5014 95.216.85,32
   5014 185.66.88,256
   5013 198.50.165,128
   5011 51.89.86,32
   5010 193.176.158,256
   5009 45.155.167,256
   5007 51.79.4,32
   5006 51.89.210,128
   5003 51.89.88,128
   5001 167.114.30,32
   5000 142.44.221,127
   4999 46.161.12,168
   4998 51.89.125,64
   4996 54.39.155,64
   4993 51.161.48,192
   4991 51.161.58,247
   4988 51.161.72,32
   4987 51.161.28,192
   4985 144.217.236,64
   4984 51.89.48,127
   4981 51.89.222,53
   4981 51.178.12,61
   4980 54.39.113,128
   4980 193.176.190,256
   4979 45.155.164,256
   4978 95.217.93,64
   4978 144.217.204,32
   4977 51.79.122,127
   4976 51.89.46,16
   4975 54.39.37,16
   4974 193.176.179,256
   4974 158.69.10,64
   4973 51.89.49,128
   4973 45.134.158,256
   4972 54.39.199,64
   4971 51.89.207,144
   4970 185.66.89,256
   4968 51.161.40,96
   4968 45.155.165,256
   4968 144.217.119,64
   4967 51.161.44,32
   4964 51.89.87,192
   4963 51.89.127,64
   4959 51.38.251,31
   4957 142.44.231,64
   4952 95.216.122,32
   4950 192.99.132,62
   4946 51.195.71,256
   4945 46.161.13,189
   4944 149.202.137,30
   4943 185.232.17,256
   4941 45.143.154,256
   4941 158.69.33,128
   4941 144.217.209,16
   4938 51.83.211,251
   4936 51.161.60,224
   4934 54.39.32,32
   4933 142.44.145,63
   4932 51.161.50,160
   4931 51.81.237,125
   4930 51.161.99,128
   4928 135.181.12,80
   4927 185.187.154,32
   4925 51.77.75,128
   4923 51.161.6,64
   4923 144.76.241,32
   4922 51.89.123,192
   4921 51.161.66,63
   4920 51.161.51,64
   4917 66.70.130,64
   4914 51.161.59,32
   4914 167.114.62,31
   4911 51.77.7,30
   4911 144.217.46,32
   4910 51.83.30,64
   4910 51.75.212,64
   4906 45.143.152,256
   4905 51.210.89,256
   4904 54.39.204,64
   4904 192.99.230,32
   4903 135.181.11,32
   4901 51.161.121,192
   4900 178.33.143,32
   4899 51.89.89,64
   4899 144.217.235,16
   4898 193.176.153,256
   4896 135.181.10,16
   4893 185.232.16,256
   4892 51.75.98,16
   4892 193.160.96,65
   4891 51.77.23,128
   4891 164.132.112,32
   4884 144.217.196,64
   4882 45.134.157,256
   4881 51.91.162,32
   4879 185.232.18,256
   4877 158.69.8,32
   4875 142.44.252,32
   4866 192.99.87,16
   4865 51.89.45,32
   4865 45.134.156,256
   4865 144.217.137,64
   4864 51.83.210,128
   4863 95.216.57,32
   4861 66.70.231,32
   4858 51.83.202,250
   4854 198.50.139,32
   4854 194.120.24,256
   4850 95.216.54,32
   4847 54.39.211,64
   4847 51.83.246,256
   4842 51.195.23,256
   4839 95.216.48,32
   4836 66.70.236,64
   4833 51.77.3,64
   4833 198.50.187,16
   4829 142.44.224,32
   4820 51.89.61,32
   4818 51.161.29,64
   4804 45.134.159,256
   4800 51.83.232,128
   4767 147.135.173,32
   4735 192.99.228,32
   4695 188.40.183,16
   4644 51.195.166,16
   4519 104.161.79,28
   4511 51.79.60,15
   4288 51.79.5,14
   4002 149.202.3,13
   3971 51.81.239,13
   3757 198.100.155,18
   3713 106.13.223,14
   3682 15.222.78,15
   3319 192.99.180,11
   3290 54.39.119,12
   3074 89.25.168,11
   3057 154.201.2,13
   3008 185.121.25,12
   2996 148.163.76,12
   2788 116.202.177,9
   2520 51.79.8,16
   2516 158.69.138,8
   2512 36.111.41,9
   2500 135.181.13,8
   2473 51.77.113,8
   2467 51.89.85,8
   2462 202.97.251,9
   2462 192.95.53,8
   2457 15.222.74,9
   2450 185.189.68,11
   2425 5.181.48,10
   2404 45.14.224,10
   2400 15.222.75,14
   2396 51.38.78,8
   2383 167.114.88,8
   2326 149.56.39,8
   2229 91.220.202,7
   2187 92.222.65,9
   2166 15.222.54,9
   2158 92.222.85,8
   2157 15.222.77,10
   2152 116.203.200,7
   2148 15.222.59,7
   2141 15.222.72,8
   2136 106.13.221,11
   2131 206.81.6,8
   2126 116.203.146,8
   2108 198.245.55,8
   2097 217.160.61,9
   2072 159.69.248,8
   2063 80.255.2,9
   2060 15.222.71,12
   2055 116.202.110,7
   1893 15.222.58,8
   1889 159.69.202,7
   1870 95.216.217,6
   1868 5.181.49,7
   1868 116.203.183,8
   1864 95.217.9,7
   1864 15.222.73,9
   1863 15.222.69,8
   1851 212.227.206,8
   1849 116.202.10,7
   1843 159.69.153,8
   1838 82.165.244,8
   1806 5.181.50,7
   1804 15.222.70,7
   1802 217.160.67,7
   1799 217.160.66,7
   1789 15.222.76,7
   1710 82.199.133,8
   1707 15.222.53,6
   1608 74.208.25,5
   1603 82.165.116,5
   1602 167.71.180,5
   1599 217.160.65,6
   1589 5.181.51,6
   1587 54.38.31,7
   1576 149.56.12,5
   1575 106.13.204,6
   1574 51.75.201,5
   1568 49.12.111,5
   1566 95.217.166,5
   1564 36.111.149,5
   1564 15.222.49,8
   1559 51.75.249,5
   1551 168.235.68,5
   1551 159.89.113,5
   1550 51.254.84,5
