    445 3.0.84.43,3.0.84,1
    367 3.101.39.135,3.101.39,1
    394 3.104.105.199,3.104.105,1
    396 3.106.149.215,3.106.149,1
    391 3.121.159.187,3.121.159,1
    150 3.12.169.115,3.12.169,1
    108 3.122.106.129,3.122.106,1
    117 3.122.108.52,3.122.108,1
     98 3.122.113.205,3.122.113,1
    124 3.12.239.50,3.12.239,1
     97 3.122.41.133,3.122.41,1
    136 3.12.50.104,3.12.50,1
     20 3.130.126.3,3.130.126,1
     31 3.130.138.133,3.130.138,1
     35 3.130.165.97,3.130.165,1
     27 3.130.166.143,3.130.166,1
     20 3.130.181.154,3.130.181,1
     34 3.130.195.100,3.130.195,1
     34 3.130.205.149,3.130.205,1
     31 3.130.225.146,3.130.225,1
     26 3.130.244.197,3.130.244,1
     27 3.130.245.66,3.130.245,1
     26 3.130.5.168,3.130.5,1
     34 3.130.55.163,3.130.55,1
     24 3.130.59.10,3.130.59,1
     35 3.130.70.196,3.130.70,1
     22 3.130.73.53,3.130.73,1
    381 3.131.0.114,3.131.0,1
     43 3.13.125.85,3.13.125,1
     37 3.13.128.246,3.13.128,1
     21 3.13.158.151,3.13.158,2
     16 3.13.158.26,3.13.158,2
     43 3.13.166.154,3.13.166,1
     39 3.13.198.89,3.13.198,1
      5 3.132.103.211,3.132.103,1
      5 3.132.109.222,3.132.109,1
      2 3.132.111.108,3.132.111,1
      5 3.132.11.121,3.132.11,1
      4 3.132.114.141,3.132.114,1
      3 3.132.115.75,3.132.115,1
      2 3.132.117.155,3.132.117,1
      5 3.132.122.137,3.132.122,1
      1 3.132.125.141,3.132.125,3
      1 3.132.125.239,3.132.125,3
      3 3.132.128.60,3.132.128,1
      1 3.132.130.239,3.132.130,2
      1 3.132.130.92,3.132.130,2
    130 3.132.132.45,3.132.132,1
      3 3.132.139.30,3.132.139,2
      3 3.132.140.229,3.132.140,1
      1 3.132.145.59,3.132.145,2
      2 3.132.145.64,3.132.145,2
      3 3.132.148.137,3.132.148,1
      3 3.132.149.236,3.132.149,1
      4 3.132.150.44,3.132.150,1
      4 3.132.152.182,3.132.152,1
      6 3.132.153.81,3.132.153,1
      3 3.132.154.143,3.132.154,1
      2 3.132.157.172,3.132.157,1
      4 3.132.158.79,3.132.158,1
      5 3.132.159.155,3.132.159,1
      2 3.132.160.241,3.132.160,1
      1 3.132.164.51,3.132.164,1
      4 3.132.168.224,3.132.168,1
      5 3.132.169.92,3.132.169,1
      1 3.132.170.19,3.132.170,3
      3 3.132.170.59,3.132.170,3
      2 3.132.173.72,3.132.173,2
      1 3.132.176.16,3.132.176,6
      1 3.132.176.4,3.132.176,6
      5 3.132.177.36,3.132.177,1
      4 3.132.181.223,3.132.181,1
      7 3.132.182.184,3.132.182,1
      1 3.132.183.22,3.132.183,2
      5 3.132.183.88,3.132.183,2
      1 3.132.184.209,3.132.184,1
      2 3.132.18.74,3.132.18,1
      4 3.132.188.211,3.132.188,1
      6 3.132.192.71,3.132.192,1
      6 3.132.195.235,3.132.195,1
      1 3.132.200.105,3.132.200,1
     38 3.13.220.108,3.13.220,1
      3 3.132.204.137,3.132.204,1
      8 3.132.206.252,3.132.206,1
      4 3.132.208.50,3.132.208,1
      2 3.132.209.205,3.132.209,1
      2 3.132.21.199,3.132.21,1
      5 3.132.219.129,3.132.219,1
      4 3.132.22.30,3.132.22,1
      2 3.132.232.131,3.132.232,1
      3 3.132.234.83,3.132.234,1
