0,True,142.44.221,127
1,True,88.99.227,1
2,True,164.132.112,32
3,True,34.233.141,1
4,True,193.176.158,256
5,True,45.134.157,256
6,True,5.189.170,1
7,True,157.230.130,1
8,True,45.134.159,256
9,True,54.82.106,1
10,True,192.99.87,16
11,True,54.246.215,1
12,True,52.9.80,1
13,True,45.134.156,256
14,False,35.168.197,1
15,True,51.83.181,231
16,True,45.134.156,256
17,True,195.201.40,3
18,True,51.89.87,191
19,True,51.79.122,125
20,True,54.39.37,16
21,True,158.69.33,128
22,True,51.161.58,247
23,True,147.135.43,62
24,True,51.91.162,32
25,True,45.134.157,256
26,True,104.254.245,2
27,True,51.83.202,250
28,True,198.50.165,128
29,False,35.182.65,2
30,True,51.161.28,192
31,True,51.83.181,231
32,True,193.176.158,256
33,True,44.224.225,1
34,True,195.201.42,5
35,True,158.69.33,128
36,True,158.69.33,128
37,True,51.83.211,249
38,True,51.75.81,128
39,True,45.143.154,256
40,True,52.30.38,2
41,True,185.232.17,256
42,True,95.217.93,64
43,True,51.161.50,160
44,True,51.161.58,247
45,True,51.83.246,255
46,True,45.155.165,256
47,True,193.176.179,256
48,True,91.134.123,1
49,True,51.161.50,160
50,True,116.203.254,2
51,True,51.38.251,31
52,True,162.255.84,3
53,True,185.232.17,256
54,True,35.161.199,1
55,True,15.222.210,1
56,True,135.181.12,80
57,True,51.77.95,127
58,True,51.75.81,128
59,True,100.21.237,1
60,True,51.195.71,256
61,True,144.217.58,32
62,True,34.241.52,1
63,True,185.232.17,256
64,True,51.210.89,256
65,True,47.241.56,4
66,True,185.66.88,256
67,True,45.134.156,256
68,True,54.39.155,64
69,True,45.155.166,256
70,True,108.61.195,1
71,True,185.66.89,256
72,True,158.69.33,128
73,True,66.42.81,1
74,True,52.18.248,1
75,True,51.161.60,224
76,True,116.203.30,3
77,True,51.89.207,144
78,True,116.203.142,2
79,True,51.89.48,127
80,True,46.161.12,168
81,True,194.120.24,256
82,True,45.134.156,256
83,True,192.99.228,32
84,True,51.83.160,250
85,True,194.120.116,256
86,True,51.83.232,128
87,True,51.161.50,160
88,True,142.44.221,127
89,True,51.77.95,127
90,True,52.13.59,1
91,True,44.232.92,2
92,True,45.134.159,256
93,True,78.141.222,1
94,True,185.66.89,256
95,True,167.114.88,8
96,True,193.176.158,256
97,True,209.141.41,2
98,True,51.161.121,192
99,True,193.176.179,256
100,True,198.50.139,32
101,True,185.232.19,256
102,True,185.232.18,256
103,True,3.230.117,1
104,True,54.194.1,1
105,False,51.161.50,160
106,True,51.161.28,192
107,True,45.134.159,256
108,True,51.210.89,256
109,True,45.155.166,256
110,True,51.161.58,247
111,True,36.111.41,8
112,True,51.89.28,128
113,True,45.77.60,1
114,True,158.69.8,32
115,True,45.155.167,256
116,True,52.14.139,1
117,True,45.155.164,256
118,True,207.180.222,1
119,True,54.76.229,1
120,True,51.83.210,128
121,True,44.228.76,1
122,True,194.120.24,256
123,True,35.182.10,1
124,True,45.155.165,256
125,True,34.217.82,1
126,True,144.217.119,64
127,True,45.143.153,256
128,True,99.79.82,2
129,True,193.176.179,256
130,True,94.130.178,2
131,True,49.12.41,1
132,True,185.232.18,256
133,True,51.89.88,128
134,True,54.39.199,64
135,True,45.134.156,256
136,True,45.155.165,256
137,False,51.210.89,256
138,True,78.47.57,3
139,True,45.155.167,256
140,True,51.161.50,160
141,True,51.83.160,250
142,True,95.216.48,32
143,True,149.202.152,1
144,True,104.161.79,28
145,True,193.176.153,256
146,True,51.89.123,192
147,True,54.39.199,64
148,True,159.69.202,7
149,True,52.60.168,2
150,True,88.198.105,1
151,True,45.134.158,256
152,True,51.161.100,128
153,True,51.161.60,224
154,True,51.161.29,63
155,True,193.30.122,1
156,True,193.176.179,256
157,True,54.39.37,16
158,True,100.21.90,1
159,True,158.69.10,64
160,True,51.83.210,128
161,True,5.45.107,1
162,True,45.76.38,1
163,True,51.79.122,125
164,True,193.176.153,256
165,True,51.77.95,127
166,True,198.251.72,2
167,True,167.88.123,3
168,True,51.83.30,64
169,True,13.58.222,1
170,True,18.191.175,1
171,True,45.134.159,256
172,True,51.77.3,64
173,True,193.176.158,256
174,True,185.232.18,256
175,True,51.89.87,191
176,True,51.89.87,191
177,True,66.70.130,64
178,True,45.155.166,256
179,True,34.255.59,1
180,True,51.195.71,256
181,True,51.210.89,256
182,True,185.232.18,256
183,True,134.209.203,5
184,True,194.120.116,256
185,True,45.155.164,256
186,True,44.225.198,1
187,True,51.83.181,231
188,True,134.209.47,1
189,True,51.161.48,191
190,True,99.79.188,5
191,True,51.89.210,128
192,True,51.89.46,16
193,True,52.21.107,1
